air_store_id,visit_date,visitors
air_5c817ef28f236bdf,2016-01-02,24
air_5c817ef28f236bdf,2016-01-03,49
air_5c817ef28f236bdf,2016-01-04,10
air_5c817ef28f236bdf,2016-01-05,2
air_5c817ef28f236bdf,2016-01-06,9
air_5c817ef28f236bdf,2016-01-07,15
air_5c817ef28f236bdf,2016-01-08,36
air_5c817ef28f236bdf,2016-01-09,44
air_5c817ef28f236bdf,2016-01-10,25
air_5c817ef28f236bdf,2016-01-11,7
air_5c817ef28f236bdf,2016-01-12,6
air_5c817ef28f236bdf,2016-01-13,1
air_5c817ef28f236bdf,2016-01-14,7
air_5c817ef28f236bdf,2016-01-15,32
air_5c817ef28f236bdf,2016-01-16,49
air_5c817ef28f236bdf,2016-01-17,26
air_5c817ef28f236bdf,2016-01-18,6
air_5c817ef28f236bdf,2016-01-19,12
air_5c817ef28f236bdf,2016-01-20,24
air_5c817ef28f236bdf,2016-01-21,37
air_5c817ef28f236bdf,2016-01-22,47
air_5c817ef28f236bdf,2016-01-23,42
air_5c817ef28f236bdf,2016-01-24,30
air_5c817ef28f236bdf,2016-01-25,7
air_5c817ef28f236bdf,2016-01-26,9
air_5c817ef28f236bdf,2016-01-27,5
air_5c817ef28f236bdf,2016-01-28,16
air_5c817ef28f236bdf,2016-01-29,50
air_5c817ef28f236bdf,2016-01-30,46
air_5c817ef28f236bdf,2016-01-31,50
air_5c817ef28f236bdf,2016-02-01,4
air_5c817ef28f236bdf,2016-02-02,22
air_5c817ef28f236bdf,2016-02-03,16
air_5c817ef28f236bdf,2016-02-04,30
air_5c817ef28f236bdf,2016-02-05,35
air_5c817ef28f236bdf,2016-02-06,64
air_5c817ef28f236bdf,2016-02-07,26
air_5c817ef28f236bdf,2016-02-08,19
air_5c817ef28f236bdf,2016-02-09,28
air_5c817ef28f236bdf,2016-02-10,35
air_5c817ef28f236bdf,2016-02-11,34
air_5c817ef28f236bdf,2016-02-12,23
air_5c817ef28f236bdf,2016-02-13,75
air_5c817ef28f236bdf,2016-02-14,20
air_5c817ef28f236bdf,2016-02-15,21
air_5c817ef28f236bdf,2016-02-16,33
air_5c817ef28f236bdf,2016-02-17,25
air_5c817ef28f236bdf,2016-02-18,22
air_5c817ef28f236bdf,2016-02-19,52
air_5c817ef28f236bdf,2016-02-20,50
air_5c817ef28f236bdf,2016-02-21,21
air_5c817ef28f236bdf,2016-02-22,34
air_5c817ef28f236bdf,2016-02-23,32
air_5c817ef28f236bdf,2016-02-24,13
air_5c817ef28f236bdf,2016-02-25,37
air_5c817ef28f236bdf,2016-02-26,64
air_5c817ef28f236bdf,2016-02-27,84
air_5c817ef28f236bdf,2016-02-28,33
air_5c817ef28f236bdf,2016-02-29,63
air_5c817ef28f236bdf,2016-03-01,7
air_5c817ef28f236bdf,2016-03-02,13
air_5c817ef28f236bdf,2016-03-03,17
air_5c817ef28f236bdf,2016-03-04,36
air_5c817ef28f236bdf,2016-03-05,66
air_5c817ef28f236bdf,2016-03-06,24
air_5c817ef28f236bdf,2016-03-07,18
air_5c817ef28f236bdf,2016-03-08,64
air_5c817ef28f236bdf,2016-03-09,4
air_5c817ef28f236bdf,2016-03-10,16
air_5c817ef28f236bdf,2016-03-11,26
air_5c817ef28f236bdf,2016-03-12,76
air_5c817ef28f236bdf,2016-03-13,32
air_5c817ef28f236bdf,2016-03-14,10
air_5c817ef28f236bdf,2016-03-15,22
air_5c817ef28f236bdf,2016-03-16,16
air_5c817ef28f236bdf,2016-03-17,33
air_5c817ef28f236bdf,2016-03-18,51
air_5c817ef28f236bdf,2016-03-19,73
air_5c817ef28f236bdf,2016-03-20,48
air_5c817ef28f236bdf,2016-03-21,39
air_5c817ef28f236bdf,2016-03-22,22
air_5c817ef28f236bdf,2016-03-23,12
air_5c817ef28f236bdf,2016-03-24,23
air_5c817ef28f236bdf,2016-03-25,41
air_5c817ef28f236bdf,2016-03-26,78
air_5c817ef28f236bdf,2016-03-27,57
air_5c817ef28f236bdf,2016-03-28,34
air_5c817ef28f236bdf,2016-03-29,58
air_5c817ef28f236bdf,2016-03-30,23
air_5c817ef28f236bdf,2016-03-31,14
air_5c817ef28f236bdf,2016-04-01,23
air_5c817ef28f236bdf,2016-04-02,55
air_5c817ef28f236bdf,2016-04-03,31
air_5c817ef28f236bdf,2016-04-04,23
air_5c817ef28f236bdf,2016-04-05,18
air_5c817ef28f236bdf,2016-04-06,2
air_5c817ef28f236bdf,2016-04-07,23
air_5c817ef28f236bdf,2016-04-08,38
air_5c817ef28f236bdf,2016-04-09,64
air_5c817ef28f236bdf,2016-04-10,38
air_5c817ef28f236bdf,2016-04-11,15
air_5c817ef28f236bdf,2016-04-12,30
air_5c817ef28f236bdf,2016-04-13,11
air_5c817ef28f236bdf,2016-04-14,7
air_5c817ef28f236bdf,2016-04-15,33
air_5c817ef28f236bdf,2016-04-16,88
air_5c817ef28f236bdf,2016-04-17,27
air_5c817ef28f236bdf,2016-04-18,14
air_5c817ef28f236bdf,2016-04-19,11
air_5c817ef28f236bdf,2016-04-20,20
air_5c817ef28f236bdf,2016-04-21,35
air_5c817ef28f236bdf,2016-04-22,44
air_5c817ef28f236bdf,2016-04-23,96
air_5c817ef28f236bdf,2016-04-24,19
air_5c817ef28f236bdf,2016-04-25,9
air_5c817ef28f236bdf,2016-04-26,33
air_5c817ef28f236bdf,2016-04-27,16
air_5c817ef28f236bdf,2016-04-28,25
air_5c817ef28f236bdf,2016-04-29,65
air_5c817ef28f236bdf,2016-04-30,33
air_5c817ef28f236bdf,2016-05-01,48
air_5c817ef28f236bdf,2016-05-02,22
air_5c817ef28f236bdf,2016-05-03,39
air_5c817ef28f236bdf,2016-05-04,54
air_5c817ef28f236bdf,2016-05-05,19
air_5c817ef28f236bdf,2016-05-06,37
air_5c817ef28f236bdf,2016-05-07,40
air_5c817ef28f236bdf,2016-05-08,8
air_5c817ef28f236bdf,2016-05-09,12
air_5c817ef28f236bdf,2016-05-10,11
air_5c817ef28f236bdf,2016-05-11,6
air_5c817ef28f236bdf,2016-05-12,6
air_5c817ef28f236bdf,2016-05-13,29
air_5c817ef28f236bdf,2016-05-14,71
air_5c817ef28f236bdf,2016-05-15,30
air_5c817ef28f236bdf,2016-05-16,10
air_5c817ef28f236bdf,2016-05-17,9
air_5c817ef28f236bdf,2016-05-18,44
air_5c817ef28f236bdf,2016-05-19,32
air_5c817ef28f236bdf,2016-05-20,28
air_5c817ef28f236bdf,2016-05-21,55
air_5c817ef28f236bdf,2016-05-22,21
air_5c817ef28f236bdf,2016-05-23,15
air_5c817ef28f236bdf,2016-05-24,18
air_5c817ef28f236bdf,2016-05-25,24
air_5c817ef28f236bdf,2016-05-26,30
air_5c817ef28f236bdf,2016-05-27,23
air_5c817ef28f236bdf,2016-05-28,77
air_5c817ef28f236bdf,2016-05-29,33
air_5c817ef28f236bdf,2016-05-30,29
air_5c817ef28f236bdf,2016-05-31,28
air_5c817ef28f236bdf,2016-06-01,23
air_5c817ef28f236bdf,2016-06-02,10
air_5c817ef28f236bdf,2016-06-03,24
air_5c817ef28f236bdf,2016-06-04,49
air_5c817ef28f236bdf,2016-06-05,41
air_5c817ef28f236bdf,2016-06-06,26
air_5c817ef28f236bdf,2016-06-07,26
air_5c817ef28f236bdf,2016-06-08,38
air_5c817ef28f236bdf,2016-06-09,21
air_5c817ef28f236bdf,2016-06-10,62
air_5c817ef28f236bdf,2016-06-11,61
air_5c817ef28f236bdf,2016-06-12,63
air_5c817ef28f236bdf,2016-06-13,3
air_5c817ef28f236bdf,2016-06-14,41
air_5c817ef28f236bdf,2016-06-15,38
air_5c817ef28f236bdf,2016-06-16,35
air_5c817ef28f236bdf,2016-06-17,38
air_5c817ef28f236bdf,2016-06-18,76
air_5c817ef28f236bdf,2016-06-19,49
air_5c817ef28f236bdf,2016-06-20,35
air_5c817ef28f236bdf,2016-06-21,53
air_5c817ef28f236bdf,2016-06-22,25
air_5c817ef28f236bdf,2016-06-23,44
air_5c817ef28f236bdf,2016-06-24,50
air_5c817ef28f236bdf,2016-06-25,74
air_5c817ef28f236bdf,2016-06-26,88
air_5c817ef28f236bdf,2016-06-27,17
air_5c817ef28f236bdf,2016-06-28,39
air_5c817ef28f236bdf,2016-06-29,30
air_5c817ef28f236bdf,2016-06-30,37
air_5c817ef28f236bdf,2016-07-01,47
air_5c817ef28f236bdf,2016-07-02,62
air_5c817ef28f236bdf,2016-07-03,40
air_5c817ef28f236bdf,2016-07-04,9
air_5c817ef28f236bdf,2016-07-05,37
air_5c817ef28f236bdf,2016-07-06,40
air_5c817ef28f236bdf,2016-07-07,30
air_5c817ef28f236bdf,2016-07-08,55
air_5c817ef28f236bdf,2016-07-09,88
air_5c817ef28f236bdf,2016-07-10,58
air_5c817ef28f236bdf,2016-07-11,43
air_5c817ef28f236bdf,2016-07-12,38
air_5c817ef28f236bdf,2016-07-13,21
air_5c817ef28f236bdf,2016-07-14,39
air_5c817ef28f236bdf,2016-07-15,43
air_5c817ef28f236bdf,2016-07-16,88
air_5c817ef28f236bdf,2016-07-17,66
air_5c817ef28f236bdf,2016-07-18,48
air_5c817ef28f236bdf,2016-07-19,23
air_5c817ef28f236bdf,2016-07-20,30
air_5c817ef28f236bdf,2016-07-21,22
air_5c817ef28f236bdf,2016-07-22,109
air_5c817ef28f236bdf,2016-07-23,50
air_5c817ef28f236bdf,2016-07-24,45
air_5c817ef28f236bdf,2016-07-25,16
air_5c817ef28f236bdf,2016-07-26,26
air_5c817ef28f236bdf,2016-07-27,23
air_5c817ef28f236bdf,2016-07-28,35
air_5c817ef28f236bdf,2016-07-29,38
air_5c817ef28f236bdf,2016-07-30,67
air_5c817ef28f236bdf,2016-07-31,30
air_5c817ef28f236bdf,2016-08-01,18
air_5c817ef28f236bdf,2016-08-02,27
air_5c817ef28f236bdf,2016-08-03,47
air_5c817ef28f236bdf,2016-08-04,26
air_5c817ef28f236bdf,2016-08-05,45
air_5c817ef28f236bdf,2016-08-06,46
air_5c817ef28f236bdf,2016-08-07,33
air_5c817ef28f236bdf,2016-08-08,29
air_5c817ef28f236bdf,2016-08-09,17
air_5c817ef28f236bdf,2016-08-10,52
air_5c817ef28f236bdf,2016-08-11,67
air_5c817ef28f236bdf,2016-08-12,44
air_5c817ef28f236bdf,2016-08-13,44
air_5c817ef28f236bdf,2016-08-14,32
air_5c817ef28f236bdf,2016-08-15,56
air_5c817ef28f236bdf,2016-08-16,22
air_5c817ef28f236bdf,2016-08-17,18
air_5c817ef28f236bdf,2016-08-18,23
air_5c817ef28f236bdf,2016-08-19,48
air_5c817ef28f236bdf,2016-08-20,55
air_5c817ef28f236bdf,2016-08-21,20
air_5c817ef28f236bdf,2016-08-22,25
air_5c817ef28f236bdf,2016-08-23,24
air_5c817ef28f236bdf,2016-08-24,23
air_5c817ef28f236bdf,2016-08-25,28
air_5c817ef28f236bdf,2016-08-26,27
air_5c817ef28f236bdf,2016-08-27,55
air_5c817ef28f236bdf,2016-08-28,54
air_5c817ef28f236bdf,2016-08-29,26
air_5c817ef28f236bdf,2016-08-30,25
air_5c817ef28f236bdf,2016-08-31,41
air_5c817ef28f236bdf,2016-09-01,10
air_5c817ef28f236bdf,2016-09-02,32
air_5c817ef28f236bdf,2016-09-03,89
air_5c817ef28f236bdf,2016-09-04,39
air_5c817ef28f236bdf,2016-09-05,32
air_5c817ef28f236bdf,2016-09-06,22
air_5c817ef28f236bdf,2016-09-07,38
air_5c817ef28f236bdf,2016-09-08,22
air_5c817ef28f236bdf,2016-09-09,39
air_5c817ef28f236bdf,2016-09-10,68
air_5c817ef28f236bdf,2016-09-11,58
air_5c817ef28f236bdf,2016-09-12,16
air_5c817ef28f236bdf,2016-09-13,25
air_5c817ef28f236bdf,2016-09-14,20
air_5c817ef28f236bdf,2016-09-15,26
air_5c817ef28f236bdf,2016-09-16,40
air_5c817ef28f236bdf,2016-09-17,75
air_5c817ef28f236bdf,2016-09-18,64
air_5c817ef28f236bdf,2016-09-19,61
air_5c817ef28f236bdf,2016-09-20,12
air_5c817ef28f236bdf,2016-09-21,40
air_5c817ef28f236bdf,2016-09-22,49
air_5c817ef28f236bdf,2016-09-23,32
air_5c817ef28f236bdf,2016-09-24,67
air_5c817ef28f236bdf,2016-09-25,35
air_5c817ef28f236bdf,2016-09-26,17
air_5c817ef28f236bdf,2016-09-27,31
air_5c817ef28f236bdf,2016-09-28,27
air_5c817ef28f236bdf,2016-09-29,18
air_5c817ef28f236bdf,2016-09-30,30
air_5c817ef28f236bdf,2016-10-01,30
air_5c817ef28f236bdf,2016-10-02,31
air_5c817ef28f236bdf,2016-10-03,30
air_5c817ef28f236bdf,2016-10-04,32
air_5c817ef28f236bdf,2016-10-05,12
air_5c817ef28f236bdf,2016-10-06,8
air_5c817ef28f236bdf,2016-10-07,49
air_5c817ef28f236bdf,2016-10-08,82
air_5c817ef28f236bdf,2016-10-09,69
air_5c817ef28f236bdf,2016-10-10,37
air_5c817ef28f236bdf,2016-10-11,19
air_5c817ef28f236bdf,2016-10-12,9
air_5c817ef28f236bdf,2016-10-13,13
air_5c817ef28f236bdf,2016-10-14,58
air_5c817ef28f236bdf,2016-10-15,66
air_5c817ef28f236bdf,2016-10-16,37
air_5c817ef28f236bdf,2016-10-17,16
air_5c817ef28f236bdf,2016-10-18,32
air_5c817ef28f236bdf,2016-10-19,25
air_5c817ef28f236bdf,2016-10-20,20
air_5c817ef28f236bdf,2016-10-21,40
air_5c817ef28f236bdf,2016-10-22,73
air_5c817ef28f236bdf,2016-10-23,32
air_5c817ef28f236bdf,2016-10-24,40
air_5c817ef28f236bdf,2016-10-25,27
air_5c817ef28f236bdf,2016-10-26,18
air_5c817ef28f236bdf,2016-10-27,33
air_5c817ef28f236bdf,2016-10-28,44
air_5c817ef28f236bdf,2016-10-29,100
air_5c817ef28f236bdf,2016-10-30,59
air_5c817ef28f236bdf,2016-10-31,51
air_5c817ef28f236bdf,2016-11-01,33
air_5c817ef28f236bdf,2016-11-02,41
air_5c817ef28f236bdf,2016-11-03,61
air_5c817ef28f236bdf,2016-11-04,33
air_5c817ef28f236bdf,2016-11-05,66
air_5c817ef28f236bdf,2016-11-06,24
air_5c817ef28f236bdf,2016-11-07,15
air_5c817ef28f236bdf,2016-11-08,28
air_5c817ef28f236bdf,2016-11-09,27
air_5c817ef28f236bdf,2016-11-10,23
air_5c817ef28f236bdf,2016-11-11,38
air_5c817ef28f236bdf,2016-11-12,58
air_5c817ef28f236bdf,2016-11-13,29
air_5c817ef28f236bdf,2016-11-14,19
air_5c817ef28f236bdf,2016-11-15,19
air_5c817ef28f236bdf,2016-11-16,27
air_5c817ef28f236bdf,2016-11-17,35
air_5c817ef28f236bdf,2016-11-18,57
air_5c817ef28f236bdf,2016-11-19,80
air_5c817ef28f236bdf,2016-11-20,32
air_5c817ef28f236bdf,2016-11-21,20
air_5c817ef28f236bdf,2016-11-22,59
air_5c817ef28f236bdf,2016-11-23,63
air_5c817ef28f236bdf,2016-11-24,17
air_5c817ef28f236bdf,2016-11-25,63
air_5c817ef28f236bdf,2016-11-26,69
air_5c817ef28f236bdf,2016-11-27,27
air_5c817ef28f236bdf,2016-11-28,34
air_5c817ef28f236bdf,2016-11-29,32
air_5c817ef28f236bdf,2016-11-30,8
air_5c817ef28f236bdf,2016-12-01,23
air_5c817ef28f236bdf,2016-12-02,34
air_5c817ef28f236bdf,2016-12-03,55
air_5c817ef28f236bdf,2016-12-04,45
air_5c817ef28f236bdf,2016-12-05,25
air_5c817ef28f236bdf,2016-12-06,13
air_5c817ef28f236bdf,2016-12-07,10
air_5c817ef28f236bdf,2016-12-08,33
air_5c817ef28f236bdf,2016-12-09,40
air_5c817ef28f236bdf,2016-12-10,69
air_5c817ef28f236bdf,2016-12-11,53
air_5c817ef28f236bdf,2016-12-12,35
air_5c817ef28f236bdf,2016-12-13,35
air_5c817ef28f236bdf,2016-12-14,23
air_5c817ef28f236bdf,2016-12-15,25
air_5c817ef28f236bdf,2016-12-16,39
air_5c817ef28f236bdf,2016-12-17,86
air_5c817ef28f236bdf,2016-12-18,39
air_5c817ef28f236bdf,2016-12-19,34
air_5c817ef28f236bdf,2016-12-20,11
air_5c817ef28f236bdf,2016-12-21,27
air_5c817ef28f236bdf,2016-12-22,57
air_5c817ef28f236bdf,2016-12-23,75
air_5c817ef28f236bdf,2016-12-24,88
air_5c817ef28f236bdf,2016-12-25,65
air_5c817ef28f236bdf,2016-12-26,37
air_5c817ef28f236bdf,2016-12-27,38
air_5c817ef28f236bdf,2016-12-28,31
air_5c817ef28f236bdf,2016-12-29,78
air_5c817ef28f236bdf,2016-12-30,75
air_5c817ef28f236bdf,2016-12-31,80
air_5c817ef28f236bdf,2017-01-01,52
air_5c817ef28f236bdf,2017-01-02,46
air_5c817ef28f236bdf,2017-01-03,39
air_5c817ef28f236bdf,2017-01-04,23
air_5c817ef28f236bdf,2017-01-05,14
air_5c817ef28f236bdf,2017-01-06,16
air_5c817ef28f236bdf,2017-01-07,85
air_5c817ef28f236bdf,2017-01-08,52
air_5c817ef28f236bdf,2017-01-09,9
air_5c817ef28f236bdf,2017-01-10,12
air_5c817ef28f236bdf,2017-01-11,19
air_5c817ef28f236bdf,2017-01-12,21
air_5c817ef28f236bdf,2017-01-13,30
air_5c817ef28f236bdf,2017-01-14,84
air_5c817ef28f236bdf,2017-01-15,46
air_5c817ef28f236bdf,2017-01-16,8
air_5c817ef28f236bdf,2017-01-17,38
air_5c817ef28f236bdf,2017-01-18,37
air_5c817ef28f236bdf,2017-01-19,23
air_5c817ef28f236bdf,2017-01-20,36
air_5c817ef28f236bdf,2017-01-21,63
air_5c817ef28f236bdf,2017-01-22,38
air_5c817ef28f236bdf,2017-01-23,25
air_5c817ef28f236bdf,2017-01-24,17
air_5c817ef28f236bdf,2017-01-25,35
air_5c817ef28f236bdf,2017-01-26,33
air_5c817ef28f236bdf,2017-01-27,56
air_5c817ef28f236bdf,2017-01-28,78
air_5c817ef28f236bdf,2017-01-29,58
air_5c817ef28f236bdf,2017-01-30,31
air_5c817ef28f236bdf,2017-01-31,28
air_5c817ef28f236bdf,2017-02-01,29
air_5c817ef28f236bdf,2017-02-02,26
air_5c817ef28f236bdf,2017-02-03,46
air_5c817ef28f236bdf,2017-02-04,86
air_5c817ef28f236bdf,2017-02-05,49
air_5c817ef28f236bdf,2017-02-06,22
air_5c817ef28f236bdf,2017-02-07,21
air_5c817ef28f236bdf,2017-02-08,44
air_5c817ef28f236bdf,2017-02-09,41
air_5c817ef28f236bdf,2017-02-10,56
air_5c817ef28f236bdf,2017-02-11,82
air_5c817ef28f236bdf,2017-02-12,54
air_5c817ef28f236bdf,2017-02-13,24
air_5c817ef28f236bdf,2017-02-14,22
air_5c817ef28f236bdf,2017-02-15,31
air_5c817ef28f236bdf,2017-02-16,41
air_5c817ef28f236bdf,2017-02-17,51
air_5c817ef28f236bdf,2017-02-18,103
air_5c817ef28f236bdf,2017-02-19,53
air_5c817ef28f236bdf,2017-02-20,20
air_5c817ef28f236bdf,2017-02-21,43
air_5c817ef28f236bdf,2017-02-22,38
air_5c817ef28f236bdf,2017-02-23,44
air_5c817ef28f236bdf,2017-02-24,55
air_5c817ef28f236bdf,2017-02-25,88
air_5c817ef28f236bdf,2017-02-26,42
air_5c817ef28f236bdf,2017-02-27,33
air_5c817ef28f236bdf,2017-02-28,31
air_5c817ef28f236bdf,2017-03-01,19
air_5c817ef28f236bdf,2017-03-02,40
air_5c817ef28f236bdf,2017-03-03,36
air_5c817ef28f236bdf,2017-03-04,92
air_5c817ef28f236bdf,2017-03-05,46
air_5c817ef28f236bdf,2017-03-06,23
air_5c817ef28f236bdf,2017-03-07,28
air_5c817ef28f236bdf,2017-03-08,27
air_5c817ef28f236bdf,2017-03-09,63
air_5c817ef28f236bdf,2017-03-10,39
air_5c817ef28f236bdf,2017-03-11,128
air_5c817ef28f236bdf,2017-03-12,50
air_5c817ef28f236bdf,2017-03-13,53
air_5c817ef28f236bdf,2017-03-14,21
air_5c817ef28f236bdf,2017-03-15,12
air_5c817ef28f236bdf,2017-03-16,30
air_5c817ef28f236bdf,2017-03-17,54
air_5c817ef28f236bdf,2017-03-18,71
air_5c817ef28f236bdf,2017-03-19,88
air_5c817ef28f236bdf,2017-03-20,35
air_5c817ef28f236bdf,2017-03-21,4
air_5c817ef28f236bdf,2017-03-22,33
air_5c817ef28f236bdf,2017-03-23,29
air_5c817ef28f236bdf,2017-03-24,70
air_5c817ef28f236bdf,2017-03-25,95
air_5c817ef28f236bdf,2017-03-26,33
air_5c817ef28f236bdf,2017-03-27,48
air_5c817ef28f236bdf,2017-03-28,21
air_5c817ef28f236bdf,2017-03-29,39
air_5c817ef28f236bdf,2017-03-30,36
air_5c817ef28f236bdf,2017-03-31,79
air_5c817ef28f236bdf,2017-04-01,67
air_5c817ef28f236bdf,2017-04-02,55
air_5c817ef28f236bdf,2017-04-03,21
air_5c817ef28f236bdf,2017-04-04,45
air_5c817ef28f236bdf,2017-04-05,44
air_5c817ef28f236bdf,2017-04-06,22
air_5c817ef28f236bdf,2017-04-07,56
air_5c817ef28f236bdf,2017-04-08,71
air_5c817ef28f236bdf,2017-04-09,40
air_5c817ef28f236bdf,2017-04-10,26
air_5c817ef28f236bdf,2017-04-11,23
air_5c817ef28f236bdf,2017-04-12,44
air_5c817ef28f236bdf,2017-04-13,19
air_5c817ef28f236bdf,2017-04-14,55
air_5c817ef28f236bdf,2017-04-15,69
air_5c817ef28f236bdf,2017-04-16,60
air_5c817ef28f236bdf,2017-04-17,18
air_5c817ef28f236bdf,2017-04-18,30
air_5c817ef28f236bdf,2017-04-19,20
air_5c817ef28f236bdf,2017-04-20,22
